anio,mujeres_tituladas
1960,1
1961,1
1962,1
1963,2
1964,2
1965,2
1966,3
1967,3
1968,2
1969,6
1970,2
1971,2
1972,5
1973,11
1974,10
1975,35
1976,22
1977,13
1978,15
1979,6
1980,14
1981,15
1982,75
1983,75
1984,76
1985,85
1986,119
1987,82
1988,76
1989,126
1990,92
1991,184
1992,189
1993,165
1994,161
1995,197
1996,186
1997,216
1998,194
1999,236
2000,194
2001,214
2002,195
2003,179
2004,208
2005,205
2006,194
2007,182
2008,190
2009,203
2010,221
2011,271
2012,193
2013,167
2014,208
2015,191
2016,161
2017,179
2018,191
2019,211
2020,119
2021,175
2022,189
2023,180
2024,193
2025,197
