carrera,titulados_total,mujeres_tituladas,porcentaje_mujeres
CIENCIA DE DATOS,1,1,100.0
RELACIONES INTERNACIONALES,1338,770,57.55
CIENCIAS SOCIALES,103,56,54.37
CIENCIA POLÍTICA,847,348,41.09
ACTUARÍA,1613,646,40.05
CONTADURÍA PÚBLICA,2034,788,38.74
DERECHO,2136,813,38.06
ADMINISTRACIÓN,4818,1831,38.0
CONTADURÍA PÚBLICA Y ESTRATEGIA FINANCIERA,766,273,35.64
INDUSTRIAL,346,109,31.5
NEGOCIOS,319,99,31.03
MATEMÁTICAS APLICADAS,874,264,30.21
COMPUTACIÓN,802,236,29.43
ECONOMÍA,4603,1176,25.55
TELEMÁTICA,285,71,24.91
DIRECCIÓN FINANCIERA,511,106,20.74
INGENIERÍA EN MECATRÓNICA,51,6,11.76
CONTADOR PUBLICO Y AUDITOR,983,103,10.48
ADMINISTRACIÓN DE EMPRESAS,453,20,4.42
ADMINISTRACIÓN DE NEGOCIOS,33,1,3.03
